date,city,country,temperature_c,feels_like_c,humidity_pct,wind_speed_kmh,wind_direction,precipitation_mm,weather_condition,visibility_km,uv_index,pressure_hpa,station_id
2024-07-25,Genova,IT,29.6,29.1,69,36.2,NW,42.8,Thunderstorm,6.4,9,1003.4,GE001
2024-08-01,Genova,IT,36.2,37.5,50,8.8,S,0.0,Sunny,30.0,11,1018.7,GE001
2024-08-15,Genova,IT,34.8,36.1,52,9.6,SW,0.0,Sunny,30.0,10,1019.4,GE001
2024-09-01,Genova,IT,29.8,29.2,62,15.4,SW,0.0,Sunny,30.0,9,1019.1,GE001
2024-09-15,Genova,IT,25.2,24.1,67,18.6,W,6.4,Partly Cloudy,20.0,7,1015.8,GE001
2024-10-01,Genova,IT,20.4,18.6,70,20.2,W,8.8,Partly Cloudy,16.0,5,1013.4,GE001
2024-10-15,Genova,IT,16.1,13.4,76,24.8,NW,18.6,Cloudy,8.4,3,1008.7,GE001
2024-11-01,Genova,IT,12.4,9.2,80,22.4,N,12.4,Cloudy,7.2,2,1011.2,GE001
2024-11-15,Genova,IT,9.6,6.1,86,28.6,NE,22.8,Heavy Rain,3.8,1,1005.6,GE001
2024-12-01,Genova,IT,7.8,4.2,82,20.4,NW,8.6,Foggy,3.4,1,1014.2,GE001
2024-12-15,Genova,IT,5.9,2.1,88,24.6,N,14.2,Heavy Rain,2.6,1,1007.8,GE001
2024-12-25,Genova,IT,7.2,3.8,80,18.2,NW,0.0,Partly Cloudy,10.0,2,1016.8,GE001
2024-12-31,Genova,IT,8.6,5.4,77,16.4,W,0.0,Cloudy,8.8,2,1018.4,GE001
